time,open,high,low,close,tick_volume
2025-02-10 06:00:00,1.03165,1.03201,1.03122,1.0319,1442
2025-02-10 07:00:00,1.03188,1.03255,1.031,1.03129,2916
2025-02-10 08:00:00,1.03128,1.03231,1.03068,1.03222,3596
2025-02-10 09:00:00,1.03222,1.0335,1.0321,1.03273,2825
2025-02-10 10:00:00,1.03271,1.03337,1.03233,1.03298,2035
2025-02-10 11:00:00,1.03297,1.03365,1.032,1.03209,2154
2025-02-10 12:00:00,1.03206,1.03225,1.03086,1.03139,2666
2025-02-10 13:00:00,1.03139,1.03264,1.03139,1.03217,2461
2025-02-10 14:00:00,1.03217,1.03236,1.03044,1.03112,2984
2025-02-10 15:00:00,1.03114,1.03199,1.03106,1.03153,2906
2025-02-10 16:00:00,1.03153,1.03184,1.03047,1.03114,2728
2025-02-10 17:00:00,1.03114,1.03148,1.03069,1.03123,1855
2025-02-10 18:00:00,1.03123,1.03161,1.03061,1.03073,1662
2025-02-10 19:00:00,1.03072,1.0311,1.03053,1.03069,1328
2025-02-10 20:00:00,1.0307,1.03085,1.03051,1.03071,1060
2025-02-10 21:00:00,1.03069,1.03085,1.03052,1.03066,537
2025-02-10 22:00:00,1.03066,1.03076,1.03035,1.0306,983
2025-02-10 23:00:00,1.03066,1.03077,1.02986,1.03008,1144
2025-02-11 00:00:00,1.0301,1.03069,1.02999,1.0305,895
2025-02-11 01:00:00,1.0305,1.0305,1.03001,1.0302,1428
2025-02-11 02:00:00,1.03021,1.0303,1.02923,1.02933,1417
2025-02-11 03:00:00,1.02933,1.03005,1.02922,1.02981,1174
2025-02-11 04:00:00,1.02981,1.03044,1.02974,1.03043,1037
2025-02-11 05:00:00,1.03043,1.0306,1.03022,1.03049,926
2025-02-11 06:00:00,1.03049,1.03105,1.03043,1.03051,1493
2025-02-11 07:00:00,1.0305,1.03081,1.03009,1.03033,2237
2025-02-11 08:00:00,1.03032,1.03197,1.02999,1.03181,2751
2025-02-11 09:00:00,1.03182,1.03219,1.03128,1.03179,2527
2025-02-11 10:00:00,1.03179,1.03252,1.03146,1.0316,2112
2025-02-11 11:00:00,1.0316,1.03229,1.03157,1.03219,1601
2025-02-11 12:00:00,1.03218,1.03286,1.03203,1.03222,1931
2025-02-11 13:00:00,1.03223,1.03262,1.03166,1.03224,2381
2025-02-11 14:00:00,1.03223,1.03375,1.03218,1.03325,2711
2025-02-11 15:00:00,1.03328,1.03433,1.03281,1.034,3539
2025-02-11 16:00:00,1.03398,1.03514,1.0339,1.03457,2888
2025-02-11 17:00:00,1.03457,1.0348600000000001,1.03434,1.03454,1724
2025-02-11 18:00:00,1.03453,1.03515,1.03444,1.03457,1674
2025-02-11 19:00:00,1.03457,1.03815,1.0342,1.0358,4052
2025-02-11 20:00:00,1.03579,1.03677,1.03575,1.0363,2086
2025-02-11 21:00:00,1.03628,1.03642,1.0359,1.0360800000000001,825
2025-02-11 22:00:00,1.03607,1.03635,1.03585,1.0362,777
2025-02-11 23:00:00,1.03619,1.03678,1.03606,1.03631,656
2025-02-12 00:00:00,1.03633,1.03644,1.03565,1.03574,1050
2025-02-12 01:00:00,1.03574,1.0364,1.03541,1.03606,1455
2025-02-12 02:00:00,1.03606,1.03678,1.03605,1.03623,1321
2025-02-12 03:00:00,1.03626,1.03654,1.03588,1.03622,1245
2025-02-12 04:00:00,1.03622,1.03637,1.03561,1.03563,1026
2025-02-12 05:00:00,1.03564,1.03595,1.03551,1.03584,989
2025-02-12 06:00:00,1.03585,1.03605,1.03569,1.03592,992
2025-02-12 07:00:00,1.03592,1.03792,1.03589,1.03756,2570
2025-02-12 08:00:00,1.03758,1.03799,1.0368,1.03712,3118
2025-02-12 09:00:00,1.0371,1.03743,1.03647,1.03736,2279
2025-02-12 10:00:00,1.03738,1.03773,1.03701,1.03756,2092
2025-02-12 11:00:00,1.03758,1.03859,1.03737,1.03754,2353
2025-02-12 12:00:00,1.03752,1.03792,1.03719,1.03732,2295
2025-02-12 13:00:00,1.03731,1.03764,1.03172,1.03332,7653
2025-02-12 14:00:00,1.0333,1.03536,1.03255,1.03505,5306
2025-02-12 15:00:00,1.03504,1.03828,1.03382,1.03743,9087
2025-02-12 16:00:00,1.03742,1.03965,1.03503,1.03913,5253
2025-02-12 17:00:00,1.03913,1.04275,1.03907,1.0426,7451
2025-02-12 18:00:00,1.04261,1.04301,1.03876,1.03897,4411
2025-02-12 19:00:00,1.03896,1.03934,1.03848,1.03912,2279
2025-02-12 20:00:00,1.03912,1.03976,1.03879,1.03917,1698
2025-02-12 21:00:00,1.03917,1.03941,1.03805,1.03833,1585
2025-02-12 22:00:00,1.03833,1.03852,1.03816,1.03843,897
2025-02-12 23:00:00,1.03842,1.03925,1.03837,1.03924,826
